name,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua and Barb.,Argentina,Armenia,Aruba,Ashmore and Cartier Is.,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Br. Indian Ocean Ter.,Brazil,British Virgin Is.,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Is.,Central African Rep.,Chad,Chile,China,Colombia,Comoros,Congo,Cook Is.,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Côte d'Ivoire,Dem. Rep. Congo,Denmark,Djibouti,Dominica,Dominican Rep.,Ecuador,Egypt,El Salvador,Eq. Guinea,Eritrea,Estonia,Ethiopia,Faeroe Is.,Falkland Is.,Fiji,Finland,Fr. Polynesia,Fr. S. Antarctic Lands,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Heard I. and McDonald Is.,Honduras,Hong Kong,Hungary,Iceland,India,Indian Ocean Ter.,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Is.,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,N. Cyprus,N. Mariana Is.,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Is.,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Rwanda,S. Geo. and the Is.,S. Sudan,Saint Helena,Saint Lucia,Samoa,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Siachen Glacier,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Is.,Somalia,Somaliland,South Africa,South Korea,Spain,Sri Lanka,St-Barthélemy,St-Martin,St. Kitts and Nevis,St. Pierre and Miquelon,St. Vin. and Gren.,Sudan,Suriname,Sweden,Switzerland,Syria,São Tomé and Principe,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Is.,U.S. Virgin Is.,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,W. Sahara,Wallis and Futuna Is.,Yemen,Zambia,Zimbabwe,eSwatini,Åland
Armenia,80,34,85,55,78,1,9,39,65,83,0,43,18,31,19,19,41,21,63,22,32,2,93,30,92,12,74,1,4,81,75,32,3,18,81,33,30,66,91,9,52,2,41,54,51,30,66,1,16,95,58,30,78,54,17,48,62,42,99,96,1,92,96,39,28,28,48,26,96,85,2,17,25,16,70,88,20,18,41,96,39,30,20,59,66,30,66,25,72,87,63,50,36,16,36,58,46,0,6,60,98,13,76,70,7,42,86,18,22,85,35,87,95,60,17,65,27,63,69,80,95,16,55,84,79,72,70,41,33,69,57,3,48,76,30,36,75,73,20,55,66,75,39,99,92,5,36,19,73,53,56,9,10,32,66,91,6,31,65,8,93,99,0,84,0,9,56,9,51,99,3,32,81,19,94,35,49,21,49,40,4,39,94,76,63,93,45,44,77,3,18,48,55,99,8,0,78,62,98,91,60,44,66,96,88,35,80,12,83,12,48,95,64,96,12,8,16,10,45,62,97,68,3,2,81,11,49,69,80,41,90,34,54,14,44,60,52,62,0,82,76
Aruba,31,71,85,62,39,8,5,76,52,27,92,0,83,74,27,24,83,85,72,16,39,83,50,32,87,99,76,95,23,69,70,91,28,95,91,84,26,46,27,16,5,45,44,23,63,52,51,4,49,18,8,70,63,0,13,92,24,68,78,98,1,83,77,88,92,73,22,78,72,75,7,59,1,48,41,68,65,94,99,76,4,57,5,81,29,75,27,33,19,15,56,97,80,96,90,46,10,1,50,91,86,64,13,11,69,97,6,29,42,29,35,29,45,86,1,40,28,63,73,34,32,74,32,41,78,74,45,31,85,51,54,3,64,39,55,52,56,4,44,34,82,87,59,34,31,36,1,97,14,88,19,32,86,18,29,98,3,93,69,24,61,33,72,5,78,36,90,82,62,74,33,34,13,31,48,67,44,85,17,63,11,58,74,95,3,39,93,24,31,52,78,59,45,17,21,95,66,1,78,82,93,94,56,27,98,92,79,64,29,45,13,83,9,32,36,27,69,65,68,56,61,98,74,43,56,30,93,16,69,18,15,37,34,61,23,74,60,35,54,86,66
Ashmore and Cartier Is.,4,27,72,41,96,98,93,9,48,15,49,5,0,36,79,11,34,48,24,6,76,19,79,1,18,79,14,94,53,79,91,48,93,37,74,66,37,82,6,77,8,78,40,67,84,89,79,68,2,25,55,82,66,47,84,47,7,89,66,80,47,24,47,40,67,8,81,83,81,2,10,71,32,75,64,43,90,73,41,94,0,91,55,74,94,13,4,12,16,36,58,14,41,30,69,40,63,4,85,29,91,13,49,9,95,38,72,72,92,92,90,51,50,44,52,3,2,33,98,5,71,88,17,72,76,97,26,43,10,77,36,34,56,79,76,66,65,18,12,92,2,62,32,76,98,37,14,22,4,53,14,24,20,40,98,21,51,74,79,33,44,73,48,72,60,49,5,31,95,55,42,41,14,96,96,32,83,3,0,49,43,50,20,0,84,28,76,76,40,41,41,97,34,42,48,64,47,71,40,63,44,35,12,70,37,89,83,29,22,86,46,83,14,5,63,92,28,57,93,13,52,26,87,58,86,73,39,90,7,18,39,40,96,24,6,56,39,98,86,77,7
Australia,1,77,84,55,89,29,47,57,69,85,74,27,10,0,35,78,28,45,98,27,94,66,30,39,82,98,17,85,50,15,65,7,15,90,42,21,60,64,39,3,8,29,46,59,44,44,81,91,21,4,74,79,9,13,98,22,25,69,73,67,31,98,62,57,8,56,89,42,26,42,93,59,10,24,48,89,35,96,71,53,30,69,69,15,98,77,88,54,54,28,59,47,73,40,76,88,1,64,0,61,48,25,77,46,94,97,31,21,44,68,34,71,40,14,46,25,72,80,45,97,54,77,29,33,39,68,35,87,21,9,0,36,87,72,78,20,48,10,48,53,22,97,97,40,81,88,96,76,55,72,66,12,78,86,37,3,54,96,58,90,95,57,75,66,15,98,12,51,65,79,9,6,40,76,68,30,22,95,74,65,24,89,51,77,67,26,17,88,46,51,65,78,51,2,22,34,74,22,34,16,17,60,44,11,90,75,27,77,66,99,61,69,12,18,34,96,22,98,66,77,92,45,71,56,39,93,89,64,86,8,62,28,11,14,17,49,31,42,30,52,23
Austria,47,24,53,58,73,12,77,95,68,93,61,75,96,54,0,43,15,67,50,18,77,51,35,31,42,0,6,41,23,74,75,94,3,61,80,20,4,7,29,57,69,87,39,53,30,44,62,9,46,69,92,14,11,28,90,66,84,16,25,32,47,84,5,74,21,3,97,68,52,96,66,3,58,6,94,90,87,27,65,53,19,30,23,11,65,17,37,82,34,39,9,34,24,60,17,39,74,72,81,79,24,95,34,77,80,77,42,8,70,32,44,93,16,27,41,98,25,15,94,92,26,12,46,91,98,92,68,69,11,21,14,78,49,40,53,52,16,57,56,80,67,53,46,14,92,10,90,11,43,85,93,25,54,44,17,71,41,46,3,8,95,0,65,67,30,34,51,11,35,76,18,80,70,68,84,94,89,72,41,84,67,61,51,5,28,45,29,82,38,8,15,41,82,42,46,50,7,50,14,96,25,99,52,4,44,33,72,3,18,47,31,26,97,75,95,94,69,69,72,85,45,29,16,83,26,8,12,72,17,43,32,99,16,30,91,96,79,80,59,5,60
Azerbaijan,78,55,28,80,38,1,81,78,98,73,76,15,45,88,25,0,15,4,60,14,13,98,28,6,65,1,52,0,59,45,51,63,75,82,50,72,9,80,37,73,85,4,89,81,82,87,0,77,61,32,48,98,88,93,48,27,62,43,90,56,47,27,66,23,58,33,51,13,62,98,97,0,74,38,36,69,22,12,44,10,96,74,73,83,13,77,38,59,60,48,50,15,22,42,38,83,82,88,20,33,68,34,39,3,42,58,54,32,30,88,92,2,86,95,78,5,93,5,36,50,65,98,61,54,84,68,24,26,24,89,14,60,19,5,28,32,33,20,71,41,25,98,24,42,11,3,24,14,3,46,50,4,94,78,45,97,99,41,39,99,19,51,42,46,34,71,12,7,64,13,48,2,92,68,44,53,70,97,95,39,14,86,7,5,23,95,47,68,15,99,8,86,23,29,21,5,51,83,57,44,39,1,4,49,65,78,74,2,63,20,74,11,31,93,67,33,30,10,30,63,97,84,55,81,20,32,67,81,54,7,93,64,16,95,95,49,45,41,64,93,81
Bahamas,34,36,68,47,86,15,88,40,65,1,5,39,58,70,68,11,0,22,75,37,24,35,71,81,21,67,6,97,38,42,29,22,46,7,29,45,55,67,28,50,13,46,39,71,87,86,20,17,75,1,27,29,37,22,98,41,89,86,50,75,56,5,15,98,27,39,94,10,66,44,82,37,44,26,36,27,69,56,29,16,98,96,96,20,44,73,37,68,47,86,21,75,62,86,66,80,5,25,45,17,10,23,9,43,66,45,75,86,80,24,77,12,4,81,97,20,45,55,41,32,31,25,15,37,91,87,17,51,56,77,95,79,4,34,86,87,19,30,66,47,15,30,84,1,1,1,83,48,42,53,29,24,80,72,40,76,32,51,85,5,22,26,72,52,0,24,92,20,27,60,91,88,96,63,28,34,78,27,32,68,51,84,10,83,79,38,19,14,74,93,78,75,71,90,23,31,16,48,58,26,9,73,21,97,39,8,92,71,81,48,36,82,24,7,6,13,93,65,0,90,51,15,21,70,99,10,69,86,13,35,85,14,55,41,32,33,69,31,85,94,88
Bahrain,83,31,59,99,67,23,63,20,23,17,38,15,85,57,94,25,90,0,1,30,92,15,67,10,1,75,33,59,24,65,25,14,46,42,32,89,39,45,0,95,20,94,9,79,30,2,75,15,59,58,93,72,61,68,9,0,66,69,19,59,5,44,66,81,28,67,64,31,88,2,80,1,99,79,85,30,82,31,92,85,23,60,1,65,66,53,62,39,81,76,76,61,1,30,3,51,25,53,53,65,70,9,79,69,13,0,3,14,15,36,33,11,38,49,37,40,20,75,10,58,47,42,59,14,97,63,6,91,39,3,35,36,88,52,49,21,33,92,54,22,35,20,3,59,39,74,19,20,77,69,59,64,0,47,95,90,44,37,81,2,30,39,93,93,8,45,1,22,67,87,39,84,6,22,97,54,19,65,19,32,29,75,20,62,50,0,66,87,22,49,97,62,81,10,56,25,11,98,10,21,90,98,32,99,70,89,55,12,11,6,75,38,94,18,74,0,38,43,56,86,19,16,70,52,78,0,8,38,79,54,92,31,84,35,38,77,71,37,62,83,89
Bangladesh,90,19,33,31,77,35,50,68,24,25,5,51,47,26,1,24,93,32,0,83,88,62,86,59,30,44,27,61,32,86,75,60,90,94,79,3,18,80,37,43,41,2,68,50,42,25,24,80,26,57,38,93,99,75,21,82,75,58,53,58,70,12,31,87,21,47,12,44,4,51,29,41,0,57,88,33,62,90,93,9,88,35,98,32,34,11,69,31,59,51,53,61,90,35,46,73,48,58,63,44,58,12,85,22,38,0,43,46,56,70,52,64,78,92,43,83,3,51,76,9,94,25,77,85,5,22,25,52,81,65,12,62,48,40,10,15,80,12,96,17,30,93,98,53,70,36,17,65,46,0,14,38,15,64,60,65,53,26,60,39,8,59,41,11,36,0,18,12,0,84,20,12,51,61,2,66,68,52,11,12,37,21,69,76,23,98,97,56,35,40,55,34,21,17,99,35,22,16,66,68,81,69,43,59,34,1,2,83,33,48,8,99,36,44,3,99,44,43,35,92,15,3,98,44,8,8,12,9,52,95,26,76,78,55,16,25,49,34,16,77,23
Barbados,49,83,58,95,75,66,84,77,70,37,61,5,42,5,46,6,3,0,99,0,49,52,4,32,9,43,53,83,88,68,95,52,74,42,92,15,1,50,27,80,55,62,34,53,43,50,20,60,1,87,55,58,44,8,67,69,24,42,64,34,0,53,72,67,50,93,98,22,44,93,66,36,29,53,18,28,15,95,39,22,12,25,69,45,22,64,59,11,26,68,61,2,63,29,45,97,67,88,64,43,19,91,84,40,53,15,47,93,96,21,58,18,83,27,28,11,83,12,68,72,13,97,71,88,10,79,73,61,70,17,78,1,77,85,16,57,98,58,53,85,79,72,25,93,65,54,37,67,96,88,37,88,85,48,42,79,47,95,64,90,78,39,44,12,32,45,20,73,51,14,72,19,35,80,18,12,68,74,66,91,41,90,28,40,67,85,50,62,44,5,25,4,68,51,91,94,82,18,48,86,90,12,6,28,27,86,19,98,34,17,42,38,68,71,28,55,29,70,65,47,77,5,29,35,85,94,78,29,55,37,11,92,32,74,10,61,32,14,44,50,98
Belarus,15,66,28,98,79,71,78,45,68,85,35,70,0,64,73,11,34,21,9,16,0,30,3,93,24,22,75,70,49,62,95,25,74,47,52,8,48,69,72,63,62,71,53,75,40,9,95,34,64,20,27,58,90,19,99,7,94,4,93,29,20,22,40,14,22,44,33,89,30,3,57,84,2,72,22,97,3,31,25,59,87,8,71,3,68,13,14,59,22,0,87,60,15,81,23,18,94,15,60,50,41,61,64,21,74,19,64,17,60,84,82,30,88,67,42,41,38,13,46,60,46,8,33,87,73,62,46,94,93,95,65,47,54,99,27,55,91,66,22,48,59,5,44,30,41,91,27,55,42,57,42,25,70,67,21,99,9,12,31,5,76,35,51,26,41,76,92,99,77,66,38,77,57,15,70,79,34,77,27,82,6,66,84,45,24,86,61,62,42,75,18,8,45,50,52,31,34,85,20,29,38,49,91,98,73,11,29,43,52,83,19,92,89,87,10,20,28,83,95,59,94,95,37,5,95,37,95,86,73,98,49,69,13,22,63,49,54,78,63,67,37
Belgium,76,38,5,39,35,80,8,67,76,81,73,9,75,60,43,63,17,62,29,96,87,0,86,58,20,2,76,99,7,22,80,15,23,73,67,53,6,25,39,79,72,76,20,0,78,35,97,58,48,10,7,71,98,91,42,80,71,78,56,79,35,23,29,29,70,9,96,98,61,49,77,96,76,55,37,40,20,56,19,35,66,74,94,98,25,27,84,75,72,80,59,3,53,88,62,49,78,34,14,53,23,68,36,58,38,15,66,41,14,93,54,13,10,64,87,9,28,60,83,82,71,0,76,7,53,66,4,39,12,19,73,80,7,17,63,7,52,28,49,79,61,0,26,68,57,73,26,70,47,65,27,82,34,17,43,86,93,96,61,65,63,27,50,65,58,3,52,1,59,62,94,8,1,70,93,3,48,26,74,64,42,52,61,14,87,38,7,84,64,76,6,15,34,80,16,60,95,61,80,10,64,40,36,69,89,10,91,13,24,60,14,2,90,87,9,1,35,38,85,23,20,5,82,3,94,19,11,33,61,61,82,51,80,25,95,94,69,35,84,36,18
